Cycle,SCC,SCV,DVV,ICP,CCDT,ACCV_C,ACCV_D,CVCT,ECD,CCD,ECV,CCV,SoH
17,7.716708845500661e-05,-3.725671117756611e-09,-4.580771670049015,7.554585612787678,2842.2949,3.773884413662928,4.023731878873501,5823.4047,3.901702880858977,0.969664861855563,2.68988037109375,0.6724681854248042,0.9884117559059381
18,8.101565461190138e-05,1.708114693389159e-08,-5.074479498164074,7.951611772172205,2842.5677,3.773814451560866,4.023811286008811,5806.5263,3.901794433592954,0.9696660556946878,2.689849853515625,0.6724650859832759,0.9884068400589464
19,7.925478380310374e-05,-3.394545716527909e-08,-4.550092375811769,8.083663262925802,2841.6056,3.773628719489754,4.023852819546066,5815.522900000001,3.901824951171989,0.9696632766281256,2.689910888671875,0.67247462272644,0.9884191296764248
20,8.704526719671522e-05,-1.392586625546298e-08,-4.524469955577286,7.651847720010047,2841.5475,3.773744116054925,4.023964541754252,5855.2303,3.901947021483977,0.9696668806136587,2.68536376953125,0.671342134475708,0.9884224724523795
21,7.815949000957465e-05,-5.175361436206756e-08,-4.828479832743985,7.58008545376283,2840.6643,3.773469838125434,4.024225284397224,5864.4571,3.902160644530966,0.9696621341281572,2.686370849609318,0.6715877056121822,0.9884091996655031
22,8.133202509032816e-05,-2.056299794976543e-08,-4.672163900903756,7.997953966493994,2840.5404,3.773317206461702,4.023973277972501,5832.055499999999,3.901947021484034,0.9696628589299505,2.685394287109432,0.671350240707397,0.9884231606709589
23,8.108651983942666e-05,-1.464507839758697e-08,-4.31048512125682,8.187796493799187,2840.9583,3.773433952608243,4.024037470287374,5763.0403,3.901977539063012,0.9696640428737742,2.677337646484375,0.669331312179565,0.9884006460917362
24,7.694582080212206e-05,6.481335703436655e-10,-4.806069510637989,8.205134544835207,2840.0483,3.773253502478089,4.024698806849271,5885.665300000001,3.902648925780966,0.9696638197056014,2.68878173828125,0.672199964523315,0.9884142138294332
25,8.560748359984694e-05,-3.703042443955054e-08,-4.495979945834629,8.021591878991416,2840.3144,3.772985083003111,4.023976684791114,5839.6752,3.901916503906023,0.9696612161933444,2.688140869140682,0.672030925750732,0.9884264051299733
26,7.789465401035536e-05,-9.701707560771003e-09,-4.139805249280356,7.580052748710041,2840.5694,3.773060546457413,4.02398709140136,5824.2534,3.901947021484034,0.9696639736357612,2.687255859375,0.6718118190765381,0.9884210960152228
27,8.25121484470228e-05,-7.376983404779328e-10,-4.668017891217117,7.67505814327467,2840.6493,3.772983810030456,4.024539847008197,5817.4652,3.902465820311988,0.9696645723015539,2.684295654296932,0.6710777282714839,0.9884169667037486
28,7.759116926006501e-05,-3.885590947117491e-09,-4.353885766350644,8.206247063209766,2840.1851,3.772306658385581,4.024019866909132,5767.808999999999,3.901977539063012,0.9696627072407866,2.6707763671875,0.6676955223083492,0.9884182448239671
29,7.635532587745163e-05,1.718021476682594e-08,-4.628258474273947,7.92929156791121,2839.4279,3.772763960491463,4.024076614024059,5773.0436,3.902038574219034,0.9696642073395192,2.68255615234375,0.6706357002258301,0.9884009410425568
30,7.403054209454129e-05,-1.584715964691321e-08,-4.903344727512526,7.746470542193333,2839.4239,3.772729882259592,4.024742190580223,5807.3228,3.902709960937955,0.9696635736036116,2.679931640625,0.669987440109252,0.9884083148130434
31,7.744275546063827e-05,1.811426230432276e-08,-4.496378587395339,8.01599003351612,2839.418,3.772699735730556,4.024065857242422,5883.3809,3.902038574218977,0.969661288138013,2.6798095703125,0.6699562072753902,0.9884046770862702
32,8.259481631290004e-05,-6.978739332582547e-09,-4.346059214625276,7.965906453349436,2840.1559,3.772698516356413,4.024026924250077,5876.1323,3.901977539062045,0.9696635422296818,2.68499755859375,0.671250581741333,0.9884173599715094
33,8.880284075187096e-05,-1.939013991448701e-08,-4.724036597708662,7.764259714797944,2841.1322,3.77250272828784,4.023852538022616,5865.1285,3.90185546875,0.9696648434619424,2.686767578125,0.6716897487640381,0.9884033989660516
34,7.535182237792814e-05,-3.358002792322596e-09,-4.90903697278292,7.91235040291579,2840.9839,3.772742295380328,4.023948725137301,5822.009300000001,3.901916503906023,0.9696671014826275,2.66876220703125,0.6671972274780269,0.9884096912502022
35,7.044583107084536e-05,-1.915998641043282e-08,-4.616427671558835,7.779579696360636,2840.5834,3.772447759913427,4.024049445577779,5848.476600000001,3.902038574218068,0.9696643967472478,2.6868896484375,0.6717357635498042,0.9884163768021094
36,8.838340329094018e-05,3.863662773394423e-08,-4.690897652099471,7.640051040382782,2840.9051,3.772249155527277,4.023950107998616,5899.2768,3.901916503906023,0.9696623498748523,2.686279296875,0.671582698822021,0.9884082164961031
37,8.319724218090155e-05,-5.043336139107135e-09,-4.325280729302474,8.145682413003911,2839.4397,3.772301617028541,4.023985602829667,5861.9737,3.901977539062955,0.9696653832506852,2.684814453125,0.67120337486267,0.9884142138294332
38,8.078814611291719e-05,1.109986410765839e-08,-4.198599038499021,7.757035755471996,2839.0943,3.772316011835434,4.024099944301661,5885.3595,3.902038574218068,0.9696685663366227,2.684326171875,0.6710846424102779,0.988413623927794
39,8.457699121431238e-05,-3.834130422684931e-08,-4.280919066529418,8.151816533973589,2839.4333,3.772186263886763,4.024084672672737,5826.5678,3.901977539062045,0.9696616028086287,2.68048095703125,0.6701202392578121,0.9883999578731568
40,8.152767161943263e-05,-3.242652695409252e-08,-3.571788173992049,8.201945044805461,2840.3498,3.772283719704309,4.024092154801521,5867.3575,3.902038574218977,0.9696657629974652,2.6712646484375,0.6678173542022701,0.9884182448239671
41,7.62270359268105e-05,1.739299000546907e-08,-3.989636446537696,7.968408326157227,2840.2703,3.772052418800863,4.024173512750743,5839.497100000001,3.902160644531023,0.9696640743932217,2.68017578125,0.6700444221496582,0.988403595599932
42,7.168445305690602e-05,-4.631020624316737e-08,-4.72629968668506,7.808069848261819,2839.7987,3.772024294435773,4.023892535159639,5874.204000000001,3.90185546875,0.9696635507862083,2.6827392578125,0.670685768127441,0.9884039888676908
43,7.428236322233946e-05,-2.21120668240236e-08,-4.315215170131584,7.64603911621136,2839.4636,3.772020180955947,4.023986006991539,5843.9978,3.901977539062045,0.9696637007873505,2.6849365234375,0.6712391376495361,0.9884123458075773
44,7.278893960399645e-05,3.324693882412615e-08,-4.619055016159199,7.560156729428344,2839.8346,3.771727380573721,4.024258210515523,5779.941900000001,3.902221679687045,0.9696651033009405,2.67730712890625,0.6693208217620841,0.9884145087802537
45,7.639442762182516e-05,-7.027342789934998e-09,-4.834201537971577,7.436307373165949,2838.8151,3.771911523577313,4.024152241962057,5835.491,3.902099609375,0.969663083320484,2.6702880859375,0.667569398880004,0.9884112643212392
46,7.760223169100043e-05,-7.461489074871367e-09,-4.568014522481975,7.7285235171851,2840.4071,3.771829262976329,4.02393914091176,5847.438700000001,3.901916503906023,0.9696657778695223,2.6844482421875,0.671107053756713,0.9884264051299733
47,7.564664635841033e-05,2.630920504290585e-09,-4.391302206913365,7.479494023300888,2840.7538,3.771774242526303,4.023512961745346,5799.791,3.901489257812955,0.9696642189519482,2.69134521484375,0.672828197479248,0.9884118542228784
48,7.995420416236251e-05,1.417942075998085e-08,-4.672211328506035,7.464262135278193,2840.7545,3.771872550846946,4.0234764529147,5834.5999,3.901428222656023,0.9696644799259955,2.69232177734375,0.673082590103149,0.9884120508567568
49,8.1433770578433e-05,2.202652348466743e-08,-4.586854496681318,8.347358613117002,2840.8482,3.771714632959999,4.02398825480349,5801.7489,3.901916503906023,0.9696639484609475,2.68353271484375,0.670891046524047,0.9884211943321629
50,8.03787345233282e-05,1.404138791144899e-08,-4.355440765020672,7.719500883738032,2840.7367,3.771506135116767,4.023692509643131,5773.0986,3.901672363281932,0.9696629890822807,2.6844482421875,0.6711146831512451,0.9884120508567568
