Cycle,SCC,SCV,DVV,ICP,CCDT,ACCV_C,ACCV_D,CVCT,ECD,CCD,ECV,CCV,SoH
20,3.067768070122167e-05,-7.204872946321742e-08,-5.11717079499315,8.949881891092085,2793.3502,3.754997905827813,4.024052551266119,3898.1546,3.837615966796989,0.9536632442614063,1.256195068359375,0.3140516281127934,0.972938635914596
21,3.222746209634122e-05,-2.757840427462391e-08,-4.649962464504475,8.462046947067199,2794.4034,3.755271752223075,4.023804428154477,3786.562,3.837371826172046,0.9536626256885941,1.252380371093807,0.3130948543548584,0.972940700570332
22,3.17842986521587e-05,-4.878821222927775e-08,-4.804781557163352,8.59695731634891,2793.0546,3.754781785045314,4.024394837602946,3816.5963,3.837951660156023,0.9536633538082245,1.246856689453125,0.3117079734802242,0.9729495490949176
23,3.053081649375076e-05,2.240625676444104e-08,-4.998125611949787,8.888383105886904,2794.3012,3.754717811081821,4.024267857337374,3841.2979,3.837829589843011,0.9536629555223043,1.252044677734375,0.3130080699920654,0.97294866424246
24,3.136718219366533e-05,-3.829183738035186e-09,-4.432047622152838,8.16670978973716,2793.0392,3.754622776129788,4.024323080264178,3984.8673,3.837890625,0.9536620305443647,1.255889892578125,0.3139703273773193,0.9729439450293466
25,3.031366020461478e-05,1.949648448509272e-08,-4.419840027870614,8.741307607341746,2793.8071,3.754759321530395,4.024255171060989,3925.4443,3.837799072265966,0.9536611955554695,1.252746582031193,0.3131895065307622,0.9729524002861734
26,3.174155703907843e-05,-1.128304771022191e-08,-4.582045706808762,8.396807397665274,2792.9212,3.754603861486722,4.024353466208013,3866.9162,3.837890625,0.9536649347282949,1.249206542968807,0.3123037815093994,0.9729456164173238
27,3.035575046291053e-05,3.72606399562309e-08,-4.964077842976039,8.799426927993263,2793.1096,3.754595383944106,4.024355901588481,3871.196,3.837921142577954,0.9536662038881327,1.249237060546932,0.3123097419738774,0.9729443382971074
28,3.009962962641868e-05,-4.998984228744871e-08,-4.619029190784056,8.857149857143032,2793.6599,3.754461100428923,4.024506457760424,3863.1658,3.83804321289,0.9536631577066148,1.250244140625,0.3125569820404053,0.972953285138631
29,3.044892872654105e-05,2.184202144627325e-08,-4.616115594916725,8.381512999127457,2794.2606,3.75461729869449,4.024308008526869,3885.9505,3.837890625,0.9536655016709119,1.25152587890625,0.312879085540771,0.9729554481113073
30,3.147845191075736e-05,-5.288578589758512e-08,-4.835685830613031,8.542919833024934,2791.5054,3.754294931495215,4.024248703978116,3849.9847,3.837768554686988,0.9536617458215911,1.2501220703125,0.3125240802764893,0.9729520070184146
31,2.967144393768875e-05,-3.418346880596155e-08,-4.535320177787461,8.277828713744917,2793.1316,3.754368648876216,4.024312438435972,3850.0205,3.837890625,0.9536628575297071,1.246826171875,0.3116931915283203,0.9729503356304372
32,2.935061033095948e-05,-7.630776609669365e-08,-4.980681243337767,8.855002114414809,2791.4902,3.754266840088153,4.024382695134207,3886.7959,3.837951660156023,0.9536632651579569,1.24798583984375,0.3119847774505611,0.972952203652293
33,3.151162686237589e-05,-3.950898976595581e-08,-4.500634659398887,8.96882699177369,2791.8241,3.754320608725097,4.024406503956675,3892.2783,3.837951660156023,0.9536638879799286,1.248291015625,0.3120741844177242,0.9729491558271588
34,2.969185062034724e-05,1.909783490845329e-08,-5.008339542643958,7.974211661933079,2791.8918,3.754290200771162,4.024432226359268,3907.5118,3.837951660156023,0.9536623912863434,1.24822998046875,0.3120524883270264,0.9729506305812557
35,3.043780257411305e-05,-1.71468300727896e-08,-4.802645853250637,8.0913712453267,2790.6679,3.754110743580662,4.024354782094245,3921.0769,3.837890625,0.9536632091330827,1.24951171875,0.3123753070831303,0.9729414871058516
36,3.08990756952747e-05,-4.400664426068957e-08,-4.505532234435694,8.589172147820603,2792.2644,3.754065318724954,4.02441699733543,3895.3881,3.838012695312955,0.9536643491010177,1.24871826171875,0.3121728897094722,0.9729377510621382
37,3.077902167981567e-05,-2.086084391425828e-08,-4.340862485060605,8.305362088500836,2792.1113,3.754208400464621,4.024430497851471,3977.2919,3.837951660156023,0.9536611559742595,1.252197265625,0.3130488395690922,0.9729335234337237
38,2.866844588240252e-05,-7.704613487402357e-08,-4.923235468471177,8.887809494998788,2793.0959,3.754024753774813,4.024385302224611,3861.9249,3.837951660156932,0.9536629166104835,1.25091552734375,0.3127224445343022,0.9729464029528434
39,3.049394084755022e-05,-5.283490668132127e-09,-4.848121904030491,8.200711273620556,2792.7246,3.754110314726722,4.024304728893698,3971.0177,3.837829589843977,0.9536645115003919,1.2529296875,0.31324291229248,0.9729429618599486
40,2.983928633022566e-05,-3.037616707242442e-08,-4.648436982585648,8.543819756810311,2793.2586,3.753874542059437,4.024251666777036,3893.0394,3.837768554687955,0.9536604580644057,1.25103759765625,0.312757015228271,0.9737775743622146
41,3.038455950871716e-05,-3.589393576577973e-08,-4.872990500458343,8.338696108079786,2791.837,3.754059163941992,4.024275643314208,3952.1733,3.837768554687955,0.9536614846729212,1.2520751953125,0.3130166530609131,0.9729505322643155
42,3.065160830843642e-05,5.323651493814972e-08,-4.502900180923939,8.28759958795437,2794.0242,3.753978914302504,4.024268062073785,3887.3192,3.837829589843977,0.9536668103246485,1.24951171875,0.3123779296875,0.9729501389965568
43,3.041017543799859e-05,-4.730473539583627e-08,-4.653633078367792,8.240302420771496,2793.4869,3.753785153935898,4.024296829824157,3911.0845,3.837890625,0.9536639983707578,1.2506103515625,0.3126518726348873,0.9729430601768888
44,2.886415627413135e-05,7.379645604642478e-08,-4.388038670287899,8.367264755781644,2794.7634,3.753660642293975,4.024217501815637,3863.988,3.837768554687955,0.9536626113404053,1.2498779296875,0.3124699592590332,0.9737797373348908
45,3.174014701449669e-05,7.607338158664579e-09,-4.743519339223505,8.867382613661782,2792.9912,3.753769287774554,4.024388475424917,3886.235,3.837951660156932,0.9536645998305175,1.248291015625,0.3120763301849361,0.9729581026686845
46,3.09084054707027e-05,-1.222740009213157e-07,-4.821881305794711,8.485572137283498,2795.7301,3.753658051168909,4.024216832030361,3888.0436,3.837768554687045,0.953663792839507,1.25225830078125,0.3130567073822021,0.9729545632588495
47,2.95319256617142e-05,-2.788101618800917e-08,-4.793808637561873,8.281672704233152,2792.89,3.753570236329218,4.024434607713326,3899.387,3.837951660156932,0.9536633617826735,1.25048828125,0.3126213550567623,0.9729266412479362
48,2.919940730694926e-05,-1.780415734600364e-08,-4.756535082312828,8.464000125795993,2794.71,3.753524602194559,4.024362975862064,3896.8318,3.837890625,0.9536642069579103,1.25006103515625,0.3125119209289551,0.9729458130512042
49,2.93756316163273e-05,-1.02498241634559e-08,-4.48530779341513,8.613724443286095,2792.7698,3.753597538788598,4.024373527842926,3907.8057,3.837890625,0.9536599607090462,1.24749755859375,0.3118848800659184,0.9729369645266186
50,2.896665227415781e-05,-2.564082486641098e-08,-4.775450626407285,8.234266820672666,2795.0823,3.753480615835166,4.024319837124892,3923.9237,3.837829589843977,0.9536638018616942,1.25006103515625,0.3125176429748531,0.9729527935539319
